cnt,wave,index,quartile,statistic,computed,official,difference,source_table
URY,2015,escs,Q4,se,5.249258611943605,5.246390000000001,0.0028686119436045487,Table I.B1.2b.24
URY,2018,escs,Q1,estimate,374.6432893139546,374.73474000000004,-0.09145068604544804,Table I.B1.2b.24
URY,2018,escs,Q1,se,3.654661339547948,3.6573300000000004,-0.002668660452052496,Table I.B1.2b.24
URY,2018,escs,Q2,estimate,402.8047572627461,402.67005000000006,0.1347072627460193,Table I.B1.2b.24
URY,2018,escs,Q2,se,3.3552034559724646,3.4203200000000002,-0.06511654402753564,Table I.B1.2b.24
URY,2018,escs,Q3,estimate,425.68460876514837,425.66078000000005,0.023828765148323328,Table I.B1.2b.24
URY,2018,escs,Q3,se,4.069134042101448,4.074450000000001,-0.005315957898552881,Table I.B1.2b.24
URY,2018,escs,Q4,estimate,465.31241618719577,465.29234,0.020076187195741113,Table I.B1.2b.24
URY,2018,escs,Q4,se,4.927075252099247,4.92687,0.00020525209924660004,Table I.B1.2b.24
URY,2022,escs,Q1,estimate,371.2191068071087,371.21911000000006,-3.1928913699630357e-06,Table I.B1.2b.24
URY,2022,escs,Q1,se,3.0743843842217227,3.08591,-0.011525615778277487,Table I.B1.2b.24
URY,2022,escs,Q2,estimate,393.80990438618784,393.8099,4.386187811178388e-06,Table I.B1.2b.24
URY,2022,escs,Q2,se,2.45131325564279,2.4348500000000004,0.0164632556427895,Table I.B1.2b.24
URY,2022,escs,Q3,estimate,411.52990541377073,411.59092000000004,-0.06101458622930522,Table I.B1.2b.24
URY,2022,escs,Q3,se,3.215768225529201,3.22583,-0.010061774470799367,Table I.B1.2b.24
URY,2022,escs,Q4,estimate,461.843520652788,461.74629000000004,0.09723065278797094,Table I.B1.2b.24
URY,2022,escs,Q4,se,3.575894764980432,3.56462,0.011274764980431673,Table I.B1.2b.24
URY,2025,escs,Q1,estimate,368.9377982348966,368.67763,0.26016823489658236,Table I.B1.2b.24
URY,2025,escs,Q1,se,2.836533064602858,2.92043,-0.08389693539714216,Table I.B1.2b.24
URY,2025,escs,Q2,estimate,390.39844150786683,391.18766000000005,-0.7892184921332159,Table I.B1.2b.24
